Status,FigmaText,FigmaName,FigmaId,DomTag,IssueProp,Expected,Actual,IssueMessage,ScreenshotPath
DIFFERENT,CS — Ticket System,CS — Ticket System,41:1353,div,height,26,36,"Height mismatch: expected 26px, got 36px",artifacts/issue-shots/issue-41-1353.png
DIFFERENT,CS — Ticket System,CS — Ticket System,41:1353,div,fontSize,24,16,"Font size mismatch: expected 24px, got 16px",artifacts/issue-shots/issue-41-1353.png
MISSING_IN_DOM,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book.","Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book.",41:755,,,,,Text exists in Figma but not found on page,
MISSING_IN_DOM,Company,Company,41:757,,,,,Text exists in Figma but not found on page,
DIFFERENT,About Us,About Us,41:759,a,width,71,57.53125,"Width mismatch: expected 71px, got 57.53125px",artifacts/issue-shots/issue-41-759.png
DIFFERENT,About Us,About Us,41:759,a,height,24,20,"Height mismatch: expected 24px, got 20px",artifacts/issue-shots/issue-41-759.png
DIFFERENT,About Us,About Us,41:759,a,fontSize,16,14,"Font size mismatch: expected 16px, got 14px",artifacts/issue-shots/issue-41-759.png
DIFFERENT,Our Mission,Our Mission,41:760,a,width,90,74.546875,"Width mismatch: expected 90px, got 74.546875px",artifacts/issue-shots/issue-41-760.png
DIFFERENT,Our Mission,Our Mission,41:760,a,height,24,20,"Height mismatch: expected 24px, got 20px",artifacts/issue-shots/issue-41-760.png
DIFFERENT,Our Mission,Our Mission,41:760,a,fontSize,16,14,"Font size mismatch: expected 16px, got 14px",artifacts/issue-shots/issue-41-760.png
DIFFERENT,Contact Saled,Contact Saled,41:761,a,width,107,85.234375,"Width mismatch: expected 107px, got 85.234375px",artifacts/issue-shots/issue-41-761.png
DIFFERENT,Contact Saled,Contact Saled,41:761,a,height,24,20,"Height mismatch: expected 24px, got 20px",artifacts/issue-shots/issue-41-761.png
DIFFERENT,Contact Saled,Contact Saled,41:761,a,fontSize,16,14,"Font size mismatch: expected 16px, got 14px",artifacts/issue-shots/issue-41-761.png
MISSING_IN_DOM,Services,Services,41:763,,,,,Text exists in Figma but not found on page,
DIFFERENT,Products & Services,Products & Services,41:765,a,width,152,122.5625,"Width mismatch: expected 152px, got 122.5625px",artifacts/issue-shots/issue-41-765.png
DIFFERENT,Products & Services,Products & Services,41:765,a,height,24,20,"Height mismatch: expected 24px, got 20px",artifacts/issue-shots/issue-41-765.png
DIFFERENT,Products & Services,Products & Services,41:765,a,fontSize,16,14,"Font size mismatch: expected 16px, got 14px",artifacts/issue-shots/issue-41-765.png
DIFFERENT,Customer Stories,Customer Stories,41:766,a,width,132,105.015625,"Width mismatch: expected 132px, got 105.015625px",artifacts/issue-shots/issue-41-766.png
DIFFERENT,Customer Stories,Customer Stories,41:766,a,height,24,20,"Height mismatch: expected 24px, got 20px",artifacts/issue-shots/issue-41-766.png
DIFFERENT,Customer Stories,Customer Stories,41:766,a,fontSize,16,14,"Font size mismatch: expected 16px, got 14px",artifacts/issue-shots/issue-41-766.png
DIFFERENT,Download Apps,Download Apps,41:767,a,width,119,98.296875,"Width mismatch: expected 119px, got 98.296875px",artifacts/issue-shots/issue-41-767.png
DIFFERENT,Download Apps,Download Apps,41:767,a,height,24,20,"Height mismatch: expected 24px, got 20px",artifacts/issue-shots/issue-41-767.png
DIFFERENT,Download Apps,Download Apps,41:767,a,fontSize,16,14,"Font size mismatch: expected 16px, got 14px",artifacts/issue-shots/issue-41-767.png
MISSING_IN_DOM,Information,Information,41:1359,,,,,Text exists in Figma but not found on page,
MISSING_IN_DOM,Privacy Policy,Privacy Policy,41:1361,,,,,Text exists in Figma but not found on page,
DIFFERENT,Terms & Conditions,Terms & Conditions,41:1362,a,width,147,121.671875,"Width mismatch: expected 147px, got 121.671875px",artifacts/issue-shots/issue-41-1362.png
DIFFERENT,Terms & Conditions,Terms & Conditions,41:1362,a,height,24,20,"Height mismatch: expected 24px, got 20px",artifacts/issue-shots/issue-41-1362.png
DIFFERENT,Terms & Conditions,Terms & Conditions,41:1362,a,fontSize,16,14,"Font size mismatch: expected 16px, got 14px",artifacts/issue-shots/issue-41-1362.png
DIFFERENT,Join Us,Join Us,41:1363,a,width,57,43.921875,"Width mismatch: expected 57px, got 43.921875px",artifacts/issue-shots/issue-41-1363.png
DIFFERENT,Join Us,Join Us,41:1363,a,height,24,20,"Height mismatch: expected 24px, got 20px",artifacts/issue-shots/issue-41-1363.png
DIFFERENT,Join Us,Join Us,41:1363,a,fontSize,16,14,"Font size mismatch: expected 16px, got 14px",artifacts/issue-shots/issue-41-1363.png
MISSING_IN_DOM,Social Links,Social Links,41:771,,,,,Text exists in Figma but not found on page,
DIFFERENT,@CS — Ticket System,@CS — Ticket System,41:778,a,width,170,158.078125,"Width mismatch: expected 170px, got 158.078125px",artifacts/issue-shots/issue-41-778.png
DIFFERENT,@CS — Ticket System,@CS — Ticket System,41:778,a,height,24,20,"Height mismatch: expected 24px, got 20px",artifacts/issue-shots/issue-41-778.png
DIFFERENT,@CS — Ticket System,@CS — Ticket System,41:778,a,fontSize,16,14,"Font size mismatch: expected 16px, got 14px",artifacts/issue-shots/issue-41-778.png
DIFFERENT,@CS — Ticket System,@CS — Ticket System,41:785,a,width,170,158.078125,"Width mismatch: expected 170px, got 158.078125px",artifacts/issue-shots/issue-41-785.png
DIFFERENT,@CS — Ticket System,@CS — Ticket System,41:785,a,height,24,20,"Height mismatch: expected 24px, got 20px",artifacts/issue-shots/issue-41-785.png
DIFFERENT,@CS — Ticket System,@CS — Ticket System,41:785,a,fontSize,16,14,"Font size mismatch: expected 16px, got 14px",artifacts/issue-shots/issue-41-785.png
DIFFERENT,@CS — Ticket System,@CS — Ticket System,41:791,a,width,170,158.078125,"Width mismatch: expected 170px, got 158.078125px",artifacts/issue-shots/issue-41-791.png
DIFFERENT,@CS — Ticket System,@CS — Ticket System,41:791,a,height,24,20,"Height mismatch: expected 24px, got 20px",artifacts/issue-shots/issue-41-791.png
DIFFERENT,@CS — Ticket System,@CS — Ticket System,41:791,a,fontSize,16,14,"Font size mismatch: expected 16px, got 14px",artifacts/issue-shots/issue-41-791.png
MISSING_IN_DOM,support@cst.com,support@cst.com,41:795,,,,,Text exists in Figma but not found on page,
DIFFERENT,© 2025 CS — Ticket System. All rights reserved.,© 2025 CS — Ticket System. All rights reserved.,41:809,nav,height,24,44,"Height mismatch: expected 24px, got 44px",
DIFFERENT,CS — Ticket System,CS — Ticket System,41:72,div,width,750,830.875,"Width mismatch: expected 750px, got 830.875px",artifacts/issue-shots/issue-41-72.png
DIFFERENT,CS — Ticket System,CS — Ticket System,41:72,div,height,26,36,"Height mismatch: expected 26px, got 36px",artifacts/issue-shots/issue-41-72.png
DIFFERENT,CS — Ticket System,CS — Ticket System,41:72,div,fontSize,24,16,"Font size mismatch: expected 24px, got 16px",artifacts/issue-shots/issue-41-72.png
DIFFERENT,Home,Course Details,41:74,button,width,45,42.890625,"Width mismatch: expected 45px, got 42.890625px",artifacts/issue-shots/issue-41-74.png
DIFFERENT,FAQ,Blog,41:75,button,width,31,29.265625,"Width mismatch: expected 31px, got 29.265625px",artifacts/issue-shots/issue-41-75.png
DIFFERENT,Changelog,My Classess,41:76,button,width,82,76.625,"Width mismatch: expected 82px, got 76.625px",artifacts/issue-shots/issue-41-76.png
DIFFERENT,Blog,My Classess,41:77,button,width,34,31.84375,"Width mismatch: expected 34px, got 31.84375px",artifacts/issue-shots/issue-41-77.png
DIFFERENT,Download,My Classess,41:78,button,width,76,72.03125,"Width mismatch: expected 76px, got 72.03125px",artifacts/issue-shots/issue-41-78.png
DIFFERENT,Contact,My Classess,41:79,button,width,61,54.71875,"Width mismatch: expected 61px, got 54.71875px",artifacts/issue-shots/issue-41-79.png
MISSING_IN_DOM,New Ticket,Enroll Now_2,41:83,,,,,Text exists in Figma but not found on page,
DIFFERENT,CS — Ticket System,CS — Ticket System,42:5,div,width,350,830.875,"Width mismatch: expected 350px, got 830.875px",artifacts/issue-shots/issue-42-5.png
DIFFERENT,CS — Ticket System,CS — Ticket System,42:5,div,height,26,36,"Height mismatch: expected 26px, got 36px",artifacts/issue-shots/issue-42-5.png
DIFFERENT,CS — Ticket System,CS — Ticket System,42:5,div,fontSize,24,16,"Font size mismatch: expected 24px, got 16px",artifacts/issue-shots/issue-42-5.png
MISSING_IN_DOM,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book.","Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book.",42:6,,,,,Text exists in Figma but not found on page,
MISSING_IN_DOM,Company,Company,42:8,,,,,Text exists in Figma but not found on page,
DIFFERENT,About Us,About Us,42:10,a,width,71,57.53125,"Width mismatch: expected 71px, got 57.53125px",artifacts/issue-shots/issue-42-10.png
DIFFERENT,About Us,About Us,42:10,a,height,24,20,"Height mismatch: expected 24px, got 20px",artifacts/issue-shots/issue-42-10.png
DIFFERENT,About Us,About Us,42:10,a,fontSize,16,14,"Font size mismatch: expected 16px, got 14px",artifacts/issue-shots/issue-42-10.png
DIFFERENT,Our Mission,Our Mission,42:11,a,width,90,74.546875,"Width mismatch: expected 90px, got 74.546875px",artifacts/issue-shots/issue-42-11.png
DIFFERENT,Our Mission,Our Mission,42:11,a,height,24,20,"Height mismatch: expected 24px, got 20px",artifacts/issue-shots/issue-42-11.png
DIFFERENT,Our Mission,Our Mission,42:11,a,fontSize,16,14,"Font size mismatch: expected 16px, got 14px",artifacts/issue-shots/issue-42-11.png
DIFFERENT,Contact Saled,Contact Saled,42:12,a,width,107,85.234375,"Width mismatch: expected 107px, got 85.234375px",artifacts/issue-shots/issue-42-12.png
DIFFERENT,Contact Saled,Contact Saled,42:12,a,height,24,20,"Height mismatch: expected 24px, got 20px",artifacts/issue-shots/issue-42-12.png
DIFFERENT,Contact Saled,Contact Saled,42:12,a,fontSize,16,14,"Font size mismatch: expected 16px, got 14px",artifacts/issue-shots/issue-42-12.png
MISSING_IN_DOM,Services,Services,42:14,,,,,Text exists in Figma but not found on page,
DIFFERENT,Products & Services,Products & Services,42:16,a,width,152,122.5625,"Width mismatch: expected 152px, got 122.5625px",artifacts/issue-shots/issue-42-16.png
DIFFERENT,Products & Services,Products & Services,42:16,a,height,24,20,"Height mismatch: expected 24px, got 20px",artifacts/issue-shots/issue-42-16.png
DIFFERENT,Products & Services,Products & Services,42:16,a,fontSize,16,14,"Font size mismatch: expected 16px, got 14px",artifacts/issue-shots/issue-42-16.png
DIFFERENT,Customer Stories,Customer Stories,42:17,a,width,132,105.015625,"Width mismatch: expected 132px, got 105.015625px",artifacts/issue-shots/issue-42-17.png
DIFFERENT,Customer Stories,Customer Stories,42:17,a,height,24,20,"Height mismatch: expected 24px, got 20px",artifacts/issue-shots/issue-42-17.png
DIFFERENT,Customer Stories,Customer Stories,42:17,a,fontSize,16,14,"Font size mismatch: expected 16px, got 14px",artifacts/issue-shots/issue-42-17.png
DIFFERENT,Download Apps,Download Apps,42:18,a,width,119,98.296875,"Width mismatch: expected 119px, got 98.296875px",artifacts/issue-shots/issue-42-18.png
DIFFERENT,Download Apps,Download Apps,42:18,a,height,24,20,"Height mismatch: expected 24px, got 20px",artifacts/issue-shots/issue-42-18.png
DIFFERENT,Download Apps,Download Apps,42:18,a,fontSize,16,14,"Font size mismatch: expected 16px, got 14px",artifacts/issue-shots/issue-42-18.png
MISSING_IN_DOM,Information,Information,42:20,,,,,Text exists in Figma but not found on page,
MISSING_IN_DOM,Privacy Policy,Privacy Policy,42:22,,,,,Text exists in Figma but not found on page,
DIFFERENT,Terms & Conditions,Terms & Conditions,42:23,a,width,147,121.671875,"Width mismatch: expected 147px, got 121.671875px",artifacts/issue-shots/issue-42-23.png
DIFFERENT,Terms & Conditions,Terms & Conditions,42:23,a,height,24,20,"Height mismatch: expected 24px, got 20px",artifacts/issue-shots/issue-42-23.png
DIFFERENT,Terms & Conditions,Terms & Conditions,42:23,a,fontSize,16,14,"Font size mismatch: expected 16px, got 14px",artifacts/issue-shots/issue-42-23.png
DIFFERENT,Join Us,Join Us,42:24,a,width,57,43.921875,"Width mismatch: expected 57px, got 43.921875px",artifacts/issue-shots/issue-42-24.png
DIFFERENT,Join Us,Join Us,42:24,a,height,24,20,"Height mismatch: expected 24px, got 20px",artifacts/issue-shots/issue-42-24.png
DIFFERENT,Join Us,Join Us,42:24,a,fontSize,16,14,"Font size mismatch: expected 16px, got 14px",artifacts/issue-shots/issue-42-24.png
MISSING_IN_DOM,Social Links,Social Links,42:26,,,,,Text exists in Figma but not found on page,
DIFFERENT,@CS — Ticket System,@CS — Ticket System,42:33,a,width,170,158.078125,"Width mismatch: expected 170px, got 158.078125px",artifacts/issue-shots/issue-42-33.png
DIFFERENT,@CS — Ticket System,@CS — Ticket System,42:33,a,height,24,20,"Height mismatch: expected 24px, got 20px",artifacts/issue-shots/issue-42-33.png
DIFFERENT,@CS — Ticket System,@CS — Ticket System,42:33,a,fontSize,16,14,"Font size mismatch: expected 16px, got 14px",artifacts/issue-shots/issue-42-33.png
DIFFERENT,@CS — Ticket System,@CS — Ticket System,42:40,a,width,170,158.078125,"Width mismatch: expected 170px, got 158.078125px",artifacts/issue-shots/issue-42-40.png
DIFFERENT,@CS — Ticket System,@CS — Ticket System,42:40,a,height,24,20,"Height mismatch: expected 24px, got 20px",artifacts/issue-shots/issue-42-40.png
DIFFERENT,@CS — Ticket System,@CS — Ticket System,42:40,a,fontSize,16,14,"Font size mismatch: expected 16px, got 14px",artifacts/issue-shots/issue-42-40.png
DIFFERENT,@CS — Ticket System,@CS — Ticket System,42:46,a,width,170,158.078125,"Width mismatch: expected 170px, got 158.078125px",artifacts/issue-shots/issue-42-46.png
DIFFERENT,@CS — Ticket System,@CS — Ticket System,42:46,a,height,24,20,"Height mismatch: expected 24px, got 20px",artifacts/issue-shots/issue-42-46.png
DIFFERENT,@CS — Ticket System,@CS — Ticket System,42:46,a,fontSize,16,14,"Font size mismatch: expected 16px, got 14px",artifacts/issue-shots/issue-42-46.png
MISSING_IN_DOM,support@cst.com,support@cst.com,42:50,,,,,Text exists in Figma but not found on page,
DIFFERENT,© 2025 CS — Ticket System. All rights reserved.,© 2025 CS — Ticket System. All rights reserved.,42:53,nav,height,24,44,"Height mismatch: expected 24px, got 44px",
DIFFERENT,In-Progress,In-Progress,42:142,p,width,628,129.125,"Width mismatch: expected 628px, got 129.125px",artifacts/issue-shots/issue-42-142.png
DIFFERENT,In-Progress,In-Progress,42:142,p,height,26,32,"Height mismatch: expected 26px, got 32px",artifacts/issue-shots/issue-42-142.png
DIFFERENT,0,0,42:143,p,width,628,129.125,"Width mismatch: expected 628px, got 129.125px",artifacts/issue-shots/issue-42-143.png
DIFFERENT,0,0,42:143,p,height,73,32,"Height mismatch: expected 73px, got 32px",artifacts/issue-shots/issue-42-143.png
DIFFERENT,0,0,42:143,p,fontSize,60,24,"Font size mismatch: expected 60px, got 24px",artifacts/issue-shots/issue-42-143.png
DIFFERENT,Resolved,Resolved,42:156,p,width,628,100.734375,"Width mismatch: expected 628px, got 100.734375px",artifacts/issue-shots/issue-42-156.png
DIFFERENT,Resolved,Resolved,42:156,p,height,26,32,"Height mismatch: expected 26px, got 32px",artifacts/issue-shots/issue-42-156.png
DIFFERENT,0,0,42:157,p,width,628,129.125,"Width mismatch: expected 628px, got 129.125px",artifacts/issue-shots/issue-42-157.png
DIFFERENT,0,0,42:157,p,height,73,32,"Height mismatch: expected 73px, got 32px",artifacts/issue-shots/issue-42-157.png
DIFFERENT,0,0,42:157,p,fontSize,60,24,"Font size mismatch: expected 60px, got 24px",artifacts/issue-shots/issue-42-157.png
DIFFERENT,Customer Tickets,Customer Tickets,5:55,p,width,1050,841,"Width mismatch: expected 1050px, got 841px",artifacts/issue-shots/issue-5-55.png
DIFFERENT,Customer Tickets,Customer Tickets,5:55,p,height,26,40,"Height mismatch: expected 26px, got 40px",artifacts/issue-shots/issue-5-55.png
DIFFERENT,Customer Tickets,Customer Tickets,5:55,p,fontSize,24,36,"Font size mismatch: expected 24px, got 36px",artifacts/issue-shots/issue-5-55.png
DIFFERENT,Login Issues - Can't Access Account,Login Issues - Can't Access Account,5:63,h2,width,383,182.25,"Width mismatch: expected 383px, got 182.25px",
DIFFERENT,Login Issues - Can't Access Account,Login Issues - Can't Access Account,5:63,h2,height,22,54,"Height mismatch: expected 22px, got 54px",
DIFFERENT,Open,Open,5:67,p,width,42,58.03125,"Width mismatch: expected 42px, got 58.03125px",artifacts/issue-shots/issue-5-67.png
DIFFERENT,Open,Open,5:67,p,fontSize,16,14,"Font size mismatch: expected 16px, got 14px",artifacts/issue-shots/issue-5-67.png
DIFFERENT,Customer is unable to log in to their account. They've tried resetting their password multiple times but still...,Customer is unable to log in to their account. They've tried resetting their password multiple times but still...,5:69,p,width,481,364.5,"Width mismatch: expected 481px, got 364.5px",artifacts/issue-shots/issue-5-69.png
DIFFERENT,Customer is unable to log in to their account. They've tried resetting their password multiple times but still...,Customer is unable to log in to their account. They've tried resetting their password multiple times but still...,5:69,p,height,36,42,"Height mismatch: expected 36px, got 42px",artifacts/issue-shots/issue-5-69.png
DIFFERENT,Customer is unable to log in to their account. They've tried resetting their password multiple times but still...,Customer is unable to log in to their account. They've tried resetting their password multiple times but still...,5:69,p,fontSize,16,14,"Font size mismatch: expected 16px, got 14px",artifacts/issue-shots/issue-5-69.png
DIFFERENT,#1001,#1001,5:71,p,width,41,38.46875,"Width mismatch: expected 41px, got 38.46875px",artifacts/issue-shots/issue-5-71.png
DIFFERENT,#1001,#1001,5:71,p,height,22,24,"Height mismatch: expected 22px, got 24px",artifacts/issue-shots/issue-5-71.png
MISSING_IN_DOM,HIGH PRIORITY,HIGH PRIORITY,5:72,,,,,Text exists in Figma but not found on page,
DIFFERENT,John Smith,John Smith,5:77,p,width,75,68.4375,"Width mismatch: expected 75px, got 68.4375px",artifacts/issue-shots/issue-5-77.png
DIFFERENT,John Smith,John Smith,5:77,p,height,22,24,"Height mismatch: expected 22px, got 24px",artifacts/issue-shots/issue-5-77.png
DIFFERENT,1/15/2024,1/15/2024,5:81,p,width,66,95.75,"Width mismatch: expected 66px, got 95.75px",artifacts/issue-shots/issue-5-81.png
DIFFERENT,1/15/2024,1/15/2024,5:81,p,height,22,24,"Height mismatch: expected 22px, got 24px",artifacts/issue-shots/issue-5-81.png
DIFFERENT,Unable to Download Invoice,Unable to Download Invoice,5:87,h2,width,331,182.25,"Width mismatch: expected 331px, got 182.25px",
DIFFERENT,Unable to Download Invoice,Unable to Download Invoice,5:87,h2,height,22,54,"Height mismatch: expected 22px, got 54px",
MISSING_IN_DOM,In- Progress,In- Progress,5:91,,,,,Text exists in Figma but not found on page,
DIFFERENT,Customer cannot download their January invoice from the billing section. The download button is...,Customer cannot download their January invoice from the billing section. The download button is...,5:93,p,width,481,364.5,"Width mismatch: expected 481px, got 364.5px",artifacts/issue-shots/issue-5-93.png
DIFFERENT,Customer cannot download their January invoice from the billing section. The download button is...,Customer cannot download their January invoice from the billing section. The download button is...,5:93,p,height,36,42,"Height mismatch: expected 36px, got 42px",artifacts/issue-shots/issue-5-93.png
DIFFERENT,Customer cannot download their January invoice from the billing section. The download button is...,Customer cannot download their January invoice from the billing section. The download button is...,5:93,p,fontSize,16,14,"Font size mismatch: expected 16px, got 14px",artifacts/issue-shots/issue-5-93.png
DIFFERENT,#1003,#1003,5:95,p,width,43,38.46875,"Width mismatch: expected 43px, got 38.46875px",artifacts/issue-shots/issue-5-95.png
DIFFERENT,#1003,#1003,5:95,p,height,22,24,"Height mismatch: expected 22px, got 24px",artifacts/issue-shots/issue-5-95.png
MISSING_IN_DOM,MEDIUM PRIORITY,MEDIUM PRIORITY,5:96,,,,,Text exists in Figma but not found on page,
DIFFERENT,Michael Brown,Michael Brown,5:101,p,width,97,91.171875,"Width mismatch: expected 97px, got 91.171875px",artifacts/issue-shots/issue-5-101.png
DIFFERENT,Michael Brown,Michael Brown,5:101,p,height,22,24,"Height mismatch: expected 22px, got 24px",artifacts/issue-shots/issue-5-101.png
DIFFERENT,1/17/2024,1/17/2024,5:105,p,width,66,95.75,"Width mismatch: expected 66px, got 95.75px",artifacts/issue-shots/issue-5-105.png
DIFFERENT,1/17/2024,1/17/2024,5:105,p,height,22,24,"Height mismatch: expected 22px, got 24px",artifacts/issue-shots/issue-5-105.png
DIFFERENT,App Crash on Launch,App Crash on Launch,5:111,h2,width,383,182.25,"Width mismatch: expected 383px, got 182.25px",
DIFFERENT,App Crash on Launch,App Crash on Launch,5:111,h2,height,22,27,"Height mismatch: expected 22px, got 27px",
DIFFERENT,Open,Open,5:115,p,width,42,58.03125,"Width mismatch: expected 42px, got 58.03125px",artifacts/issue-shots/issue-5-115.png
DIFFERENT,Open,Open,5:115,p,fontSize,16,14,"Font size mismatch: expected 16px, got 14px",artifacts/issue-shots/issue-5-115.png
DIFFERENT,Customer reports that the mobile app crashes immediately upon opening on Android 13.,Customer reports that the mobile app crashes immediately upon opening on Android 13.,5:117,p,width,481,364.5,"Width mismatch: expected 481px, got 364.5px",artifacts/issue-shots/issue-5-117.png
DIFFERENT,Customer reports that the mobile app crashes immediately upon opening on Android 13.,Customer reports that the mobile app crashes immediately upon opening on Android 13.,5:117,p,height,36,42,"Height mismatch: expected 36px, got 42px",artifacts/issue-shots/issue-5-117.png
DIFFERENT,Customer reports that the mobile app crashes immediately upon opening on Android 13.,Customer reports that the mobile app crashes immediately upon opening on Android 13.,5:117,p,fontSize,16,14,"Font size mismatch: expected 16px, got 14px",artifacts/issue-shots/issue-5-117.png
DIFFERENT,#1005,#1005,5:119,p,width,43,38.46875,"Width mismatch: expected 43px, got 38.46875px",artifacts/issue-shots/issue-5-119.png
DIFFERENT,#1005,#1005,5:119,p,height,22,24,"Height mismatch: expected 22px, got 24px",artifacts/issue-shots/issue-5-119.png
MISSING_IN_DOM,HIGH PRIORITY,HIGH PRIORITY,5:120,,,,,Text exists in Figma but not found on page,
DIFFERENT,David Wilson,David Wilson,5:125,p,width,86,81.046875,"Width mismatch: expected 86px, got 81.046875px",artifacts/issue-shots/issue-5-125.png
DIFFERENT,David Wilson,David Wilson,5:125,p,height,22,24,"Height mismatch: expected 22px, got 24px",artifacts/issue-shots/issue-5-125.png
DIFFERENT,1/19/2024,1/19/2024,5:129,p,width,67,95.75,"Width mismatch: expected 67px, got 95.75px",artifacts/issue-shots/issue-5-129.png
DIFFERENT,1/19/2024,1/19/2024,5:129,p,height,22,24,"Height mismatch: expected 22px, got 24px",artifacts/issue-shots/issue-5-129.png
DIFFERENT,Two-Factor Authentication Issue,Two-Factor Authentication Issue,5:135,h2,width,383,182.25,"Width mismatch: expected 383px, got 182.25px",
DIFFERENT,Two-Factor Authentication Issue,Two-Factor Authentication Issue,5:135,h2,height,22,54,"Height mismatch: expected 22px, got 54px",
DIFFERENT,Open,Open,5:139,p,width,42,58.03125,"Width mismatch: expected 42px, got 58.03125px",artifacts/issue-shots/issue-5-139.png
DIFFERENT,Open,Open,5:139,p,fontSize,16,14,"Font size mismatch: expected 16px, got 14px",artifacts/issue-shots/issue-5-139.png
DIFFERENT,Customer is not receiving 2FA codes on their registered phone number.,Customer is not receiving 2FA codes on their registered phone number.,5:141,p,width,481,364.5,"Width mismatch: expected 481px, got 364.5px",artifacts/issue-shots/issue-5-141.png
DIFFERENT,Customer is not receiving 2FA codes on their registered phone number.,Customer is not receiving 2FA codes on their registered phone number.,5:141,p,height,36,42,"Height mismatch: expected 36px, got 42px",artifacts/issue-shots/issue-5-141.png
DIFFERENT,Customer is not receiving 2FA codes on their registered phone number.,Customer is not receiving 2FA codes on their registered phone number.,5:141,p,fontSize,16,14,"Font size mismatch: expected 16px, got 14px",artifacts/issue-shots/issue-5-141.png
DIFFERENT,#1007,#1007,5:143,p,width,42,38.46875,"Width mismatch: expected 42px, got 38.46875px",artifacts/issue-shots/issue-5-143.png
DIFFERENT,#1007,#1007,5:143,p,height,22,24,"Height mismatch: expected 22px, got 24px",artifacts/issue-shots/issue-5-143.png
MISSING_IN_DOM,HIGH PRIORITY,HIGH PRIORITY,5:144,,,,,Text exists in Figma but not found on page,
DIFFERENT,James Anderson,James Anderson,5:149,p,width,111,100.734375,"Width mismatch: expected 111px, got 100.734375px",artifacts/issue-shots/issue-5-149.png
DIFFERENT,James Anderson,James Anderson,5:149,p,height,22,24,"Height mismatch: expected 22px, got 24px",artifacts/issue-shots/issue-5-149.png
DIFFERENT,1/21/2024,1/21/2024,5:153,p,width,66,95.75,"Width mismatch: expected 66px, got 95.75px",artifacts/issue-shots/issue-5-153.png
DIFFERENT,1/21/2024,1/21/2024,5:153,p,height,22,24,"Height mismatch: expected 22px, got 24px",artifacts/issue-shots/issue-5-153.png
DIFFERENT,Subscription Auto-Renewal,Subscription Auto-Renewal,5:159,h2,width,331,182.25,"Width mismatch: expected 331px, got 182.25px",
DIFFERENT,Subscription Auto-Renewal,Subscription Auto-Renewal,5:159,h2,height,22,54,"Height mismatch: expected 22px, got 54px",
MISSING_IN_DOM,In- Progress,In- Progress,5:163,,,,,Text exists in Figma but not found on page,
DIFFERENT,Customer wants to enable auto-renewal for their subscription but the toggle is disabled.,Customer wants to enable auto-renewal for their subscription but the toggle is disabled.,5:165,p,width,481,364.5,"Width mismatch: expected 481px, got 364.5px",artifacts/issue-shots/issue-5-165.png
DIFFERENT,Customer wants to enable auto-renewal for their subscription but the toggle is disabled.,Customer wants to enable auto-renewal for their subscription but the toggle is disabled.,5:165,p,height,36,42,"Height mismatch: expected 36px, got 42px",artifacts/issue-shots/issue-5-165.png
DIFFERENT,Customer wants to enable auto-renewal for their subscription but the toggle is disabled.,Customer wants to enable auto-renewal for their subscription but the toggle is disabled.,5:165,p,fontSize,16,14,"Font size mismatch: expected 16px, got 14px",artifacts/issue-shots/issue-5-165.png
DIFFERENT,#1009,#1009,5:167,p,width,43,38.46875,"Width mismatch: expected 43px, got 38.46875px",artifacts/issue-shots/issue-5-167.png
DIFFERENT,#1009,#1009,5:167,p,height,22,24,"Height mismatch: expected 22px, got 24px",artifacts/issue-shots/issue-5-167.png
MISSING_IN_DOM,MEDIUM PRIORITY,MEDIUM PRIORITY,5:168,,,,,Text exists in Figma but not found on page,
DIFFERENT,Liam Thomas,Liam Thomas,5:173,p,width,89,81.59375,"Width mismatch: expected 89px, got 81.59375px",artifacts/issue-shots/issue-5-173.png
DIFFERENT,Liam Thomas,Liam Thomas,5:173,p,height,22,24,"Height mismatch: expected 22px, got 24px",artifacts/issue-shots/issue-5-173.png
DIFFERENT,1/17/2024,1/17/2024,5:177,p,width,66,95.75,"Width mismatch: expected 66px, got 95.75px",artifacts/issue-shots/issue-5-177.png
DIFFERENT,1/17/2024,1/17/2024,5:177,p,height,22,24,"Height mismatch: expected 22px, got 24px",artifacts/issue-shots/issue-5-177.png
DIFFERENT,Payment Failed - Card Declined,Payment Failed - Card Declined,5:184,h2,width,383,182.25,"Width mismatch: expected 383px, got 182.25px",
DIFFERENT,Payment Failed - Card Declined,Payment Failed - Card Declined,5:184,h2,height,22,54,"Height mismatch: expected 22px, got 54px",
DIFFERENT,Open,Open,5:188,p,width,42,58.03125,"Width mismatch: expected 42px, got 58.03125px",artifacts/issue-shots/issue-5-188.png
